Event Name,Event Venue,Event Web Site,Performers,Event Date,Start Time,End Time,Promoters,Event Purchase URL,Event Pic,Notes,City,State/Province,Country,Correct for accents and symbols
Dirty Dutch Blackout 2011,Amsterdam Rai,http://www.dirty-dutch.com/category/dirty-dutch-2/,Chuckie; Laidback Luke; Sunnery James & Ryan Marciano; Knife Party; Ruckus & Rev Run (DJ Set); Gregori Klosman; Betatraxx; GLOWINTHEDARK; Silvio Ecomo; Mitchell Neimeyer; MC Gee,12/17/2011,10pm,na,na,http://tickets.dirty-dutch.com/,http://128.122.47.38:7777/static/clubgeneric_small.jpg,na,Amsterdam,na,Netherlands,na
David Guetta at Copacabana,Copacabana Beach,,David Guetta,12/31/2011,10pm,na,na,na,na,na,Rio de Janeiro,na,Brazil,na
David Guetta at Cafe Curacao,Cafe Curacao,http://www.cafecuracao.com.br/,David Guetta,1/1/2012,10pm,na,na,na,na,na,Guaratuba,na,Brazil,na
David Guetta at Green Valley,Green Valley,http://www.greenvalley.art.br/index.php,David Guetta,1/2/2012,10pm,na,na,http://www.greenvalley.art.br/index.php,http://www.greenvalley.art.br/fotos/agenda/93649_38flyer.jpg,na,Camboriu,na,Brazil,na
David Guetta at El Jaguel,El Jaguel,,David Guetta,1/3/2012,10pm,na,na,na,na,na,Punta Del Este,na,Uruguay,na
David Guetta at Music Park,Music Park,http://www.musicpark.com.br/,David Guetta,1/5/2012,10pm,na,na,na,http://www.musicweek.com/pictures/160xAny/x/k/c/david_guetta_0706_2.jpg,na,Florianopolis,na,Brazil,na
Peppermint Experience,Dubai World Trade Center,http://www.dwtc.com/,Armin van Buuren,12/31/2011,10pm,na,na,http://www.peppermint-experience.com/,http://www.peppermint-experience.com/files/event/18/709921ff4e722cabb37effcfe724a056.jpg,na,Dubai,na,UAE,na
Tiesto at PNE,PNE Colliseum,http://www.tiesto.com/Tiesto-home,Tiesto,12/31/2011,10pm,na,na,https://ticketdriver.com/tiestotickets/buy/tickets/event/41285,http://s3.amazonaws.com/venuedriver_flyers/22331/ticket_event/Tijscad.jpeg?1321930727,na,Vancouver,na,Canada,*
Tiesto at Observatory,The Observatory,http://www.tiesto.com/Tiesto-home,Tiesto,1/1/2012,10pm,na,na,https://ticketdriver.com/tiestotickets/buy/tickets/event/40304,http://www.observatoryoc.com/sites/default/files/event_photos/XL_Flyer_Online_Tiesto_Final.jpg,na,Santa Ana,na,USA,*
Tiesto at XS,XS,http://www.tiesto.com/Tiesto-home,Tiesto,1/7/2012,10pm,na,na,https://ticketdriver.com/tiestotickets/buy/tickets/event/42576,http://s3.amazonaws.com/venuedriver_flyers/22662/ticket_event/xs_tiesto_graphic_01072012_v3.jpg?1323681643,na,Las Vegas,na,USA,*
Deadmau5 at FontaineBleau,Fontainebleau Pool & Arkadia,http://www.fontainebleau.com/,Deadmau5,12/31/2011,7pm,na,,http://fbnye.snaptickets.com/Events/ShowEvent.aspx?eventId=14836,http://www.snaptickets.com/SiteFiles/GetImage.ashx?imageFilePath=SiteFiles%2fEvents%2f14836%2f900x200.jpg&maxWidth=1000&maxHeight=300&maxKb=150,na,Miami,na,USA,na
Deadmau5 at XS,XS,http://xslasvegas.com/flash2/#/home/?migcatid=xs&migSource=google-paid,Deadmau5,1/2/2012,10pm,na,na,http://xs.wantickets.com/events/96279/deadmau5-at-xs-nightclub/,http://www.wantickets.com/SiteFiles/GetImage.ashx?imageFilePath=SiteFiles%2fEvents%2f96279%2f2f3c7f1f-d23b-4109-b90e-0e75e73c96b8.jpg&maxWidth=270&maxHeight=1000&maxKb=100,na,Las Vegas,na,USA,na
Deadmau5 at JUNO,JUNO Awards,http://junoawards.ca/,Deadmau5,4/1/2012,10pm,na,na,http://ev9.evenue.net/cgi-bin/ncommerce3/SEGetEventList?groupCode=JUNOS&linkID=ottawa&shopperContext=&caller=&appCode=,http://static.capitaltickets.ca/events/thumbnails/juno_165.gif,na,Ottawa,na,Canada,na
Deadmau5 at RDS,Royal Dublin Society,http://www.rds.ie/,Deadmau5,6/6/2012,10pm,na,na,http://www.ticketmaster.ie/event/1800477E8EF64D61?artistid=1221074&majorcatid=10001&minorcatid=201,http://media.ticketmaster.co.uk/tm/en-gb/dbimages/30008a.gif,na,Dublin,na,Ireland,na
Sandance Festival,Atlantis Hotel,http://www.atlantisthepalm.com/,Above & Beyond; Basement Jaxx; Roger Sanchez; Sister Bliss; Goldfish; Jon Ulysses,12/31/2011,10pm,na,na,http://www.platinumlist.ae/event/item/4182/SANDANCE_NYE.html,http://sandance.ae/wp-content/uploads/2011/10/SANDANCE-NYE-slier-new-300x106.png,na,Dubai,na,UAE,na
Group Therapy 2012,K-Arena,http://www.walkieticket.com/product.aspx?P1=0000000447,Above & Beyond,1/13/2012,9pm,na,na,http://www.walkieticket.com/product.aspx?P1=0000000447,http://www.skiddle.com/images/articles/5628.jpg,na,Kaohsiung City,na,Taiwan,na
SEMF 2012,Kintex Convention Center,http://www.semf.co.kr/,Above & Beyond,1/14/2012,10pm,na,na,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=11015950,http://ticketimage.interpark.com/Play/image/large/11/11015950_p.gif,na,Seoul,na,South Korea,na
Above & Beyond at LAVO,LAVO,http://www.aboveandbeyond.nu/,Above & Beyond,1/17/2012,10pm,na,na,http://www.lavolv.com/tickets.html,http://taolasvegas.com/uploads/images/chuckie_dec20_lvw.jpg,na,Las Vegas,na,USA,na
Above & Beyond at Axis,Axis Radius,http://www.aboveandbeyond.nu/,Above & Beyond,1/20/2012,9pm,na,na,http://fla.vor.us/wafform.aspx?_act=eventview&_pky=114289,http://az22552.vo.msecnd.net/eimg/114289/116b5c9aaad243f49e5604189afbdbdd.image!jpeg.73388.jpg.above200x200.jpg,na,Scottsdale,na,USA,na
Jacked at Wet,Wet at the W,,Afrojack,12/31/2011,11pm,na,na,http://www.kicktickets.com/34938/2011/12/31/nye-2012-featuring-afrojack-bobby-burns-wet-south-beach-miami-beach-fl,http://www.kicktickets.com/wp-content/uploads/2011/11/NYE-2012-featuring-Afrojack-Bobby-Burns-at-Wet-at-W-South-Beach-Miami-Beach-FL-188x300.jpg,na,Miami,na,USA,na
Jacked at XS,XS,http://xsnye.wantickets.com/,Afrojack,1/1/2012,10pm,na,na,http://xsnye.wantickets.com/events/96440/jacked-afrojack-r3hab-bobby-burns-apster-quintino-shermanology-new-years-day-at-xs-nightclub/,http://www.wantickets.com/SiteFiles/GetImage.ashx?imageFilePath=SiteFiles%2fEvents%2f96440%2f7ee82861-9127-47af-b2b7-1a444685c078.jpg&maxWidth=270&maxHeight=1000&maxKb=100,na,Las Vegas,na,USA,na
Full on Ferry New Years Eve,O2 Academy,http://www.o2academybrixton.co.uk/event/34814/full-on-ferry-new-years-eve-tickets,Dash Berlin; Lock n' Load; Ferry Corsten; Judge Jules; Richard Durand; Marcel Woods; Sied van Riel,12/31/2011,9pm,na,na,http://www.o2academybrixton.co.uk/event/34814/full-on-ferry-new-years-eve-tickets,http://api.ning.com/files/I-avv2gXWyxgr81vD1KQZEKO3zXtYBdx0fz1K3L9s4DWyMZ-HJLyBXXRym1wscguH-pUXsfdrUNl0cEMc55rkxSsnvkdr9yL/20111231London3.jpg?width=750,na,London,na,England,na
Resolution 12,Centre Bell,http://www.evenko.ca/en/show/event/5759,Dash Berlin;Avicii; Axwell; Gareth Emery,1/1/2012,9pm,na,na,http://www.evenko.ca/html/tickets/resolution12/index_en.html,http://cdn.evenko.ca/_uploads/event/5759/splash.jpg,na,Montreal,na,Canada,na
